./data/SUES-200/Testing/300/query_drone/0133/4.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0042/0.png']
./data/SUES-200/Testing/300/query_drone/0133/7.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png']
./data/SUES-200/Testing/300/query_drone/0133/17.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0130/0.png']
./data/SUES-200/Testing/300/query_drone/0133/47.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0122/0.png', './data/SUES-200/Testing/300/gallery_satellite/0042/0.png']
./data/SUES-200/Testing/300/query_drone/0133/11.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0068/0.png']
./data/SUES-200/Testing/300/query_drone/0133/0.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png']
./data/SUES-200/Testing/300/query_drone/0133/30.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0068/0.png']
./data/SUES-200/Testing/300/query_drone/0133/8.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png']
./data/SUES-200/Testing/300/query_drone/0133/48.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0068/0.png', './data/SUES-200/Testing/300/gallery_satellite/0042/0.png']
./data/SUES-200/Testing/300/query_drone/0133/14.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0130/0.png', './data/SUES-200/Testing/300/gallery_satellite/0147/0.png']
./data/SUES-200/Testing/300/query_drone/0133/10.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0068/0.png']
./data/SUES-200/Testing/300/query_drone/0095/20.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0135/0.png', './data/SUES-200/Testing/300/gallery_satellite/0095/0.png', './data/SUES-200/Testing/300/gallery_satellite/0012/0.png', './data/SUES-200/Testing/300/gallery_satellite/0046/0.png', './data/SUES-200/Testing/300/gallery_satellite/0099/0.png', './data/SUES-200/Testing/300/gallery_satellite/0106/0.png', './data/SUES-200/Testing/300/gallery_satellite/0018/0.png', './data/SUES-200/Testing/300/gallery_satellite/0122/0.png', './data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0011/0.png']
./data/SUES-200/Testing/300/query_drone/0095/19.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0135/0.png', './data/SUES-200/Testing/300/gallery_satellite/0095/0.png', './data/SUES-200/Testing/300/gallery_satellite/0012/0.png', './data/SUES-200/Testing/300/gallery_satellite/0046/0.png', './data/SUES-200/Testing/300/gallery_satellite/0099/0.png', './data/SUES-200/Testing/300/gallery_satellite/0106/0.png', './data/SUES-200/Testing/300/gallery_satellite/0154/0.png', './data/SUES-200/Testing/300/gallery_satellite/0122/0.png', './data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0132/0.png']
./data/SUES-200/Testing/300/query_drone/0053/33.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0054/0.png', './data/SUES-200/Testing/300/gallery_satellite/0053/0.png', './data/SUES-200/Testing/300/gallery_satellite/0035/0.png', './data/SUES-200/Testing/300/gallery_satellite/0162/0.png', './data/SUES-200/Testing/300/gallery_satellite/0173/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0136/0.png', './data/SUES-200/Testing/300/gallery_satellite/0063/0.png', './data/SUES-200/Testing/300/gallery_satellite/0048/0.png', './data/SUES-200/Testing/300/gallery_satellite/0040/0.png']
./data/SUES-200/Testing/300/query_drone/0053/36.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0054/0.png', './data/SUES-200/Testing/300/gallery_satellite/0053/0.png', './data/SUES-200/Testing/300/gallery_satellite/0162/0.png', './data/SUES-200/Testing/300/gallery_satellite/0136/0.png', './data/SUES-200/Testing/300/gallery_satellite/0063/0.png', './data/SUES-200/Testing/300/gallery_satellite/0048/0.png', './data/SUES-200/Testing/300/gallery_satellite/0115/0.png', './data/SUES-200/Testing/300/gallery_satellite/0161/0.png', './data/SUES-200/Testing/300/gallery_satellite/0112/0.png', './data/SUES-200/Testing/300/gallery_satellite/0040/0.png']
./data/SUES-200/Testing/300/query_drone/0110/22.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0103/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0119/0.png']
./data/SUES-200/Testing/300/query_drone/0110/23.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0103/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0003/0.png']
./data/SUES-200/Testing/300/query_drone/0110/21.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0103/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0119/0.png']
./data/SUES-200/Testing/300/query_drone/0110/16.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0103/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0075/0.png']
./data/SUES-200/Testing/300/query_drone/0110/18.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0103/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0075/0.png']
./data/SUES-200/Testing/300/query_drone/0110/13.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0130/0.png', './data/SUES-200/Testing/300/gallery_satellite/0103/0.png']
./data/SUES-200/Testing/300/query_drone/0110/2.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0130/0.png', './data/SUES-200/Testing/300/gallery_satellite/0018/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0103/0.png']
./data/SUES-200/Testing/300/query_drone/0110/35.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0130/0.png']
./data/SUES-200/Testing/300/query_drone/0110/1.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0130/0.png', './data/SUES-200/Testing/300/gallery_satellite/0093/0.png', './data/SUES-200/Testing/300/gallery_satellite/0075/0.png']
./data/SUES-200/Testing/300/query_drone/0110/40.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0103/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0130/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png']
./data/SUES-200/Testing/300/query_drone/0110/49.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0093/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0130/0.png']
./data/SUES-200/Testing/300/query_drone/0110/42.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0103/0.png', './data/SUES-200/Testing/300/gallery_satellite/0130/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png']
./data/SUES-200/Testing/300/query_drone/0110/5.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0093/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0103/0.png']
./data/SUES-200/Testing/300/query_drone/0110/38.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0111/0.png', './data/SUES-200/Testing/300/gallery_satellite/0150/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0175/0.png', './data/SUES-200/Testing/300/gallery_satellite/0022/0.png', './data/SUES-200/Testing/300/gallery_satellite/0093/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0103/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png']
